round,FedAvg,FDL-FL,AVFL,AVFL+Macro schedule
168,0.65268617,0.645851064,0.679694149,0.74856383
169,0.66837766,0.645704787,0.675851064,0.750132979
170,0.64525266,0.62537234,0.681875,0.763882979
171,0.664840426,0.637207447,0.674614362,0.762712766
172,0.681369681,0.648031915,0.67706117,0.750585106
173,0.667606383,0.66474734,0.67606383,0.762340426
174,0.66106383,0.653058511,0.660026596,0.755957447
175,0.64912234,0.664095745,0.662513298,0.75731383
176,0.646675532,0.665172872,0.65087766,0.747260638
177,0.658590426,0.68168883,0.652992021,0.751143617
178,0.648922872,0.674468085,0.684069149,0.750345745
179,0.652925532,0.665664894,0.669202128,0.754228723
180,0.654960106,0.666542553,0.691768617,0.752021277
181,0.657845745,0.656183511,0.665691489,0.757978723
182,0.654614362,0.650864362,0.69018617,0.758457447
183,0.657473404,0.666835106,0.676875,0.751090426
184,0.650146277,0.671196809,0.676409574,0.749441489
185,0.661888298,0.65849734,0.674428191,0.765930851
186,0.660611702,0.656183511,0.65912234,0.759494681
187,0.66831117,0.665771277,0.661303191,0.759920213
188,0.674760638,0.66168883,0.669375,0.756808511
189,0.671768617,0.657433511,0.683457447,0.767154255
190,0.673085106,0.667632979,0.706276596,0.763696809
191,0.669507979,0.658630319,0.676715426,0.759893617
192,0.66268617,0.650132979,0.686968085,0.755718085
193,0.658843085,0.648204787,0.66849734,0.76462766
194,0.660784574,0.656196809,0.670731383,0.75662234
195,0.651861702,0.655651596,0.674720745,0.763617021
196,0.665026596,0.675319149,0.672965426,0.756888298
197,0.64849734,0.658710106,0.661582447,0.757792553
198,0.667446809,0.659946809,0.665039894,0.762101064
199,0.67081117,0.666702128,0.66537234,0.753111702
200,0.669800532,0.668457447,0.662406915,0.754148936
